History Category,Question,Qi and Blood Deficiency,Spleen Qi Deficiency,Liver and Kidney Yin Deficiency,Spleen Deficiency with Dampness,Heart and Spleen Yang Deficiency,Liver Qi Stagnation and Spleen Deficiency,"Shaoyang Half-Exterior, Half-Interior"
O/S,"Since when have you been feeling fatigued, and how long does the fatigue last throughout the day?",,,,,,,
P/I,Could you describe the exact symptoms you mean by fatigue?,"Sleepiness, lack of concentration, dizziness","Sleepiness, lack of concentration","Mental fog, weakness in the body, legs feel weak, forgetfulness","Heavy body, swelling","Fatigue, forgetfulness",Fatigue,"Fatigue, chills, fever"
Duration,When does your fatigue worsen?,,,,,,,
Course,How is your fatigue now compared to when it first appeared?,,,,,,,
Associated Symptoms,Do you have any other discomforting symptoms?,,,,,,,
Worsening Factors,Are there any factors that trigger or worsen your fatigue?,"Work, exercise",Work,Excessive work stress,,,"Work, stress",
Alleviating Factors,Does your fatigue improve with sleep or rest?,No,Somewhat better after rest,No improvement,No,,,
P/H,"Have you ever been diagnosed with any diseases, or had any abnormal results in health checkups?",,,,,,,
Drug Hx.,Are you taking any medications or have you had surgery?,,Coffee for staying awake at work,Coffee for staying awake at work,,,,
S/H,"Do you consume alcohol, smoke, or drink coffee?",,Coffee to endure work,Coffee to endure work,,,,
S/H-Sleep,Do you sleep well? How many hours do you sleep per day?,Poor sleep,Poor sleep,"Used to sleep only 3-4 hours, still can't sleep well",,Frequent dreams,,
S/H-Sleep,Is your sleep environment appropriate? Do you have vivid dreams?,Many dreams,,Many dreams,,,,
Family History,Does anyone in your family have similar symptoms or have they been diagnosed with a related condition?,,,,,,,
ROS-General (Mental),Are you feeling more depressed or has your motivation decreased?,Slight anxiety,,,"Frequent sighing, feeling suffocated, resentment",Chest tightness,,
ROS-GI (A/N/V/D/C),"Have you experienced loss of appetite, indigestion, nausea, or vomiting?","Loss of appetite, indigestion",Loss of appetite,,"Loss of appetite, nausea, vomiting",Loss of appetite,"Loss of appetite (due to indigestion), nausea, dizziness, thirst",
ROS-Stool,"Has there been any change in your bowel movements, like constipation or diarrhea?",Loose stools,Loose stools,,Loose stools,Loose stools,"Watery stools, discomfort after defecation, loose stools, flatulence",
ROS-Urine,How often do you urinate per day? Any abnormalities?,,Difficulty urinating,,Difficulty urinating,,,
ROS-Nerve,"Have you ever felt dizzy, lightheaded, or had heart palpitations?","Dizziness, occasional palpitations",Heavy-headedness,"Dizziness, heavy-headedness",Heavy-headedness,"Dizziness, heart palpitations",Frequent sighing,
ROS-General (Weight),Have you experienced any changes in your weight?,,,,,,,
ROS-Respiratory (C/S/R),"Have you ever experienced a cough, phlegm, or difficulty breathing?",,,,,,,
ROS-Ear,Have you ever experienced ringing in your ears?,,Low-pitched ringing sound in ears,,,,,
ROS-General (Power),"Have you ever felt weakness, numbness, or pain in your lower back or legs?",,Weakness in legs,,,,,
Pain,Could you describe any pain in more detail?,Bloating in the abdomen,,Pain in the flanks,,,,
ROS-OBGY,How is your menstruation? Any changes in your cycle or flow?,,"Decreased menstrual flow, lighter color",Decreased menstrual flow,,,,
